mode	model	rep	turns	wall_s	input	cache_write	cache_read	output	total_tokens	cost_std	cost_intro	cost_cli	terminal	denials
qa	claude-haiku-4-5	rep1	1	9	10	4645	18634	540	23829	0.0145	-	0.0145	completed	0
qa	claude-haiku-4-5	rep2	1	9	10	4641	18634	373	23658	0.0137	-	0.0137	completed	0
qa	claude-sonnet-5	rep1	1	12	2	30869	0	646	31517	0.1956	0.1306	0.1956	completed	0
qa	claude-sonnet-5	rep2	1	15	2	5852	25016	1090	31960	0.0596	0.04	0.0596	completed	0
qa	claude-opus-4-8	rep1	1	11	3238	18986	0	499	22723	0.2192	-	0.2192	completed	0
qa	claude-opus-4-8	rep2	1	11	3238	2097	16894	449	22678	0.0575	-	0.0575	completed	0
qa	claude-fable-5	rep1	1	13	3238	20291	0	494	24023	0.4636	-	0.4636	completed	0
qa	claude-fable-5	rep2	1	14	3238	3395	16892	387	23912	0.1372	-	0.1372	completed	0
writing	claude-haiku-4-5	rep1	2	27	15	9599	38889	2174	50677	0.0347	-	0.0347	completed	0
writing	claude-haiku-4-5	rep2	2	25	15	9403	38888	1955	50261	0.0332	-	0.0332	completed	0
writing	claude-sonnet-5	rep1	2	39	4	8265	56018	2240	66527	0.1008	0.0674	0.1008	completed	0
writing	claude-sonnet-5	rep2	2	37	4	8438	56017	2453	66912	0.105	0.0703	0.105	completed	0
writing	claude-opus-4-8	rep1	2	48	3297	7513	36015	2305	49130	0.168	-	0.168	completed	0
writing	claude-opus-4-8	rep2	2	47	3293	7483	36017	2185	48978	0.1647	-	0.1647	completed	0
writing	claude-fable-5	rep1	2	51	3293	8932	37316	2427	51968	0.371	-	0.371	completed	0
writing	claude-fable-5	rep2	2	49	3293	8783	37316	2271	51663	0.3602	-	0.3602	completed	0
data	claude-haiku-4-5	rep1	11	67	33	20479	329102	3283	352897	0.0911	-	0.0911	completed	0
data	claude-haiku-4-5	rep2	9	41	30	20430	272172	4539	297171	0.0916	-	0.0916	completed	0
data	claude-sonnet-5	rep1	10	65	20	14602	341973	5761	362356	0.2775	0.1853	0.2775	completed	0
data	claude-sonnet-5	rep2	7	51	14	11659	224748	3936	240357	0.1972	0.1318	0.1972	completed	0
data	claude-opus-4-8	rep1	7	78	3707	13162	168522	5906	191297	0.3829	-	0.3829	completed	0
data	claude-opus-4-8	rep2	6	84	3525	11537	137742	4872	157676	0.3245	-	0.3245	completed	0
data	claude-fable-5	rep1	9	98	3763	14371	202888	5656	226678	0.8115	-	0.8115	completed	0
data	claude-fable-5	rep2	6	53	3517	11049	142522	3030	160118	0.551	-	0.551	completed	0
coding	claude-haiku-4-5	rep1	17	46	45	19222	377928	4689	401884	0.1004	-	0.1004	completed	0
coding	claude-haiku-4-5	rep2	16	37	43	19474	153968	4409	177894	0.0771	-	0.0771	completed	0
coding	claude-haiku-4-5	rep3	13	57	32	17679	366475	4312	388498	0.0943	-	0.0943	completed	0
coding	claude-sonnet-5	rep1	12	55	20	18748	371874	3557	394199	0.2781	0.1857	0.2781	completed	0
coding	claude-sonnet-5	rep2	10	48	18	16151	321270	3132	340571	0.241	0.1609	0.241	completed	0
coding	claude-sonnet-5	rep3	11	51	22	16993	400732	3935	421682	0.282	0.1882	0.282	completed	0
coding	claude-opus-4-8	rep1	16	105	4341	17850	451163	4942	478296	0.55	-	0.55	completed	0
coding	claude-opus-4-8	rep2	14	93	4116	15493	379717	4217	403543	0.4715	-	0.4715	completed	0
coding	claude-opus-4-8	rep3	14	100	4254	16124	383145	4820	408343	0.4953	-	0.4953	completed	0
coding	claude-fable-5	rep1	14	48	3594	15725	123367	3660	146346	0.6575	-	0.6575	completed	0
coding	claude-fable-5	rep2	13	60	3649	15364	149552	3259	171824	0.657	-	0.657	completed	0
coding	claude-fable-5	rep3	14	62	3645	16388	157272	3799	181104	0.7121	-	0.7121	completed	0
coding-hard	claude-haiku-4-5	rep1	12	46	32	20142	327012	4867	352053	0.0981	-	0.0981	completed	0
coding-hard	claude-sonnet-5	rep1	6	65	10	18589	165899	7187	191685	0.2698	0.1801	0.2698	completed	0
coding-hard	claude-opus-4-8	rep1	10	106	3829	16809	247186	6828	274652	0.4822	-	0.4822	completed	0
coding-hard	claude-fable-5	rep1	7	78	3513	15992	155811	4983	180299	0.7606	-	0.7606	completed	0
